Pair_name	fs_name	L	theta	nuB	nuF	T	fs_sanitycheck	-2LL_model	AIC
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	269083.16413450276	9.989835881255615	3.5801323597742774	4.021108713976422	3981059.8794063646	-948746.6760995743	1897499.3521991486
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	996174.7351699449	9.267712981042452	0.36439531571746825	0.3039749866335452	3981059.8794063646	-746634.114548307	1493274.229096614
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	11222833.62166563	0.1355324289508404	0.08339551606543773	4.844271530000322	3981059.8794063646	-899622.7603480567	1799251.5206961134
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	636641.7200311983	9.646978026913171	1.019882203319679	1.1383623769477667	3981059.8794063646	-809182.2313067843	1618370.4626135686
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1127480.801642131	1.0487207407944972	0.09067251245170388	0.017363620210048957	3981059.8794063646	-740145.4536029145	1480296.907205829
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	226145.66651533372	8.752337893303713	5.0676200516900884	4.1670272100918835	3981059.8794063646	-1091794.7591658307	2183595.5183316614
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	442133.2969315987	8.802391033691316	1.6559689075264998	3.3466533152083455	3981059.8794063646	-832642.8387172591	1665291.6774345182
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	897045.0757706614	3.1539775695564534	0.7794986420947166	2.607341263308935	3981059.8794063646	-841805.6975280202	1683617.3950560405
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	633552.935137068	4.093684224367812	1.1733780735854016	3.5317688169724146	3981059.8794063646	-845504.8300860933	1691015.6601721866
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	499406.08247227635	0.7226368651039652	3.0655445564488297	2.4260224528309915	3981059.8794063646	-1231041.3647608843	2462088.7295217686
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	316268.66915619414	9.487536095962806	2.6861337305489674	4.169356368643695	3981059.8794063646	-872907.8520821757	1745821.7041643513
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1142166.0239420845	0.032842037308618795	0.0002029018016740664	5.802218609594966e-05	3981059.8794063646	-731899.1521805908	1463804.3043611816
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1025777.9761790927	5.61234441526564	0.6311439662775704	3.8631243943513667	3981059.8794063646	-844883.1357391555	1689772.271478311
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	541792.9349835822	8.904199281288866	1.2072078682894445	3.6338984681227737	3981059.8794063646	-830622.384568735	1661250.76913747
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	920928.8078837647	6.7409739486083975	0.6175917654053041	2.3885716183263965	3981059.8794063646	-841536.0504775604	1683078.1009551208
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	855667.8660006024	8.877029679096577	0.5809869830385137	0.6333442216853533	3981059.8794063646	-765585.9998137724	1531177.9996275448
