GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108008423
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108004700 108005876 108006850 108007126 108007486 108008498 108009516 108013144 108014054 108015361 108015361 108015488 108016979 108017791 108017954 108019186 108019353 108020370 108020910 118877953
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108005204 108006597 108006597 108008316 108015378 108016070 108018066 108018575 108018637 108019123 108020354 108021285 108021285 118877626
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108019123 118877626
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108005465 108008678 108009204 108015270 108015722
GO:0000470	maturation of LSU-rRNA	108007655 108009177 108009468 108010158 108014088 108014161 108015018 108015324 108018650 108021212 108021492
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108009276 108016563 108016648 108017800
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108006850 108013144 108013683
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108009276 108016563 108016648 108017800
GO:0000481	maturation of 5S rRNA	108020998
GO:0000492	box C/D snoRNP assembly	108005204 108012039 108014289 108015805 108018066 118877514
GO:0000493	box H/ACA snoRNP assembly	108017108 108021253
GO:0000494	box C/D sno(s)RNA 3'-end processing	108008253 108011585
GO:0000495	box H/ACA sno(s)RNA 3'-end processing	108010208
GO:0000502	proteasome complex	108007236 108007715 108009859 108012235 108021197
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	108007164 108008415 108008415 108014879
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	108008892 108020812
GO:0000706	meiotic DNA double-strand break processing	108008966
GO:0000707	meiotic DNA recombinase assembly	108011710
GO:0000712	resolution of meiotic recombination intermediates	108004693 108005900 108008087 108008446 108015368 108017008 108020395 108021166
GO:0000715	nucleotide-excision repair, DNA damage recognition	108013686
GO:0000719	photoreactive repair	108010227
GO:0000722	telomere maintenance via recombination	108010210 108017497
GO:0000723	telomere maintenance	108005067 108005483 108005483 108005936 108006338 108008644 108010624 108010624 108013559 108018178 108021506
GO:0000724	double-strand break repair via homologous recombination	108005067 108005231 108005863 108005936 108006001 108006084 108006841 108006882 108007248 108007715 108008087 108008644 108009064 108009605 108009762 108010275 108010437 108011944 108013247 108013508 108013559 108016776 108017008 108018516 108018659 108018994 108019116 108019454 108020133 108020607 108021166 108021572 139352156
GO:0000727	double-strand break repair via break-induced replication	108004747 108006112 108006462 108007467 108012450 108014064 108015253 108015296 108015368 108017778
GO:0000730	DNA recombinase assembly	108019454
GO:0000774	adenyl-nucleotide exchange factor activity	108011381 108012998 108019626 108019626 118877215
